source_type,recommended_type,relation_class,relation_type,default_action,strength,requires_project_context,requires_installation_check,quote_policy,reason_template,source,validation_status,notes
Cuba,Misturador,universal,complement,boost,strong,false,true,allow_if_strong,Complementa funcionalmente o produto atual.,phase_4_8_agent_meeting,agent_hypothesis,Hipotese provisoria derivada da revisao dos agentes.
Misturador,Cuba,universal,complement,boost,strong,false,true,allow_if_strong,Complementa funcionalmente o produto atual.,phase_4_8_agent_meeting,agent_hypothesis,Hipotese provisoria derivada da revisao dos agentes.
Cooktop,Coifa,universal,complement,boost,strong,false,true,allow_if_strong,Relacao comum em projetos de cozinha.,phase_4_8_agent_meeting,agent_hypothesis,Hipotese provisoria derivada da revisao dos agentes.
Coifa,Cooktop,universal,complement,boost,strong,false,true,allow_if_strong,Relacao comum em projetos de cozinha.,phase_4_8_agent_meeting,agent_hypothesis,Hipotese provisoria derivada da revisao dos agentes.
Rangetop,Coifa,universal,complement,boost,strong,false,true,allow_if_strong,Relacao comum em projetos de cozinha.,phase_4_8_agent_meeting,agent_hypothesis,Hipotese provisoria derivada da revisao dos agentes.
Rangetop,Forno,universal,same_suite,boost,strong,false,true,allow_if_strong,Relacao comum em projetos de cozinha.,phase_4_8_agent_meeting,agent_hypothesis,Hipotese provisoria derivada da revisao dos agentes.
Forno,Cooktop,universal,complement,boost,strong,false,true,allow_if_strong,Relacao comum em projetos de cozinha.,phase_4_8_agent_meeting,agent_hypothesis,Hipotese provisoria derivada da revisao dos agentes.
Forno,Coifa,universal,complement,allow,medium,false,true,allow_if_strong,Pode complementar o projeto de coccao quando houver compatibilidade tecnica.,phase_4_8_agent_meeting,agent_hypothesis,Hipotese provisoria derivada da revisao dos agentes.
Acessorio de Coifa,Coifa,universal,technical_accessory,boost,strong,false,true,allow_if_strong,Acessorio tecnico ligado ao sistema de exaustao.,phase_4_8_agent_meeting,agent_hypothesis,Hipotese provisoria derivada da revisao dos agentes.
Lavadora,Secadora,universal,complement,allow,strong,false,true,allow_if_strong,Par tecnico comum no contexto de lavanderia.,phase_4_8_agent_meeting,agent_hypothesis,Hipotese provisoria derivada da revisao dos agentes.
Adega,Cervejeira,contextual,complement,allow,medium,true,true,allow_top3_with_context,Pode fazer sentido em projeto gourmet mas depende do contexto.,phase_4_8_agent_meeting,agent_hypothesis,Hipotese provisoria pendente de validacao por comportamento real.
Adega,Frigobar,contextual,complement,allow,medium,true,true,allow_top3_with_context,Pode fazer sentido em projeto gourmet mas depende do contexto.,phase_4_8_agent_meeting,agent_hypothesis,Hipotese provisoria pendente de validacao por comportamento real.
Cervejeira,Adega,contextual,complement,allow,medium,true,true,allow_top3_with_context,Pode fazer sentido em projeto gourmet mas depende do contexto.,phase_4_8_agent_meeting,agent_hypothesis,Hipotese provisoria pendente de validacao por comportamento real.
Cervejeira,Frigobar,contextual,complement,allow,medium,true,true,allow_top3_with_context,Pode fazer sentido em projeto gourmet mas depende do contexto.,phase_4_8_agent_meeting,agent_hypothesis,Hipotese provisoria pendente de validacao por comportamento real.
Churrasqueira,Adega,contextual,complement,allow,medium,true,true,allow_top3_with_context,Pode fazer sentido em projeto gourmet mas depende do contexto.,phase_4_8_agent_meeting,agent_hypothesis,Hipotese provisoria pendente de validacao por comportamento real.
Churrasqueira,Cervejeira,contextual,complement,allow,medium,true,true,allow_top3_with_context,Pode fazer sentido em projeto gourmet mas depende do contexto.,phase_4_8_agent_meeting,agent_hypothesis,Hipotese provisoria pendente de validacao por comportamento real.
Churrasqueira,Frigobar,contextual,complement,allow,medium,true,true,allow_top3_with_context,Pode fazer sentido em projeto gourmet mas depende do contexto.,phase_4_8_agent_meeting,agent_hypothesis,Hipotese provisoria pendente de validacao por comportamento real.
Churrasqueira,Coifa,contextual,complement,allow,medium,true,true,allow_top3_with_context,Pode fazer sentido em projeto gourmet mas depende do contexto.,phase_4_8_agent_meeting,agent_hypothesis,Hipotese provisoria pendente de validacao por comportamento real.
Churrasqueira,Cooktop,contextual,complement,allow,medium,true,true,allow_top3_with_context,Pode fazer sentido em projeto gourmet mas depende do contexto.,phase_4_8_agent_meeting,agent_hypothesis,Hipotese provisoria pendente de validacao por comportamento real.
Forno de Pizza,Churrasqueira,contextual,complement,allow,medium,true,true,allow_top3_with_context,Pode fazer sentido em projeto gourmet mas depende do contexto.,phase_4_8_agent_meeting,agent_hypothesis,Hipotese provisoria pendente de validacao por comportamento real.
Maquina de Gelo,Cervejeira,contextual,complement,allow,medium,true,true,allow_top3_with_context,Pode fazer sentido em projeto gourmet mas depende do contexto.,phase_4_8_agent_meeting,agent_hypothesis,Hipotese provisoria pendente de validacao por comportamento real.
Maquina de Gelo,Adega,contextual,complement,allow,medium,true,true,allow_top3_with_context,Pode fazer sentido em projeto gourmet mas depende do contexto.,phase_4_8_agent_meeting,agent_hypothesis,Hipotese provisoria pendente de validacao por comportamento real.
Cafeteira,Micro-ondas,contextual,same_suite,allow,medium,true,true,allow_top3_with_context,Pode fazer sentido em projeto de embutidos mas depende do contexto.,phase_4_8_agent_meeting,agent_hypothesis,Hipotese provisoria pendente de validacao por comportamento real.
Cafeteira,Forno,contextual,same_suite,allow,medium,true,true,allow_top3_with_context,Pode fazer sentido em projeto de embutidos mas depende do contexto.,phase_4_8_agent_meeting,agent_hypothesis,Hipotese provisoria pendente de validacao por comportamento real.
Gaveta Aquecida,Forno,contextual,same_suite,allow,medium,true,true,allow_top3_with_context,Pode fazer sentido em projeto de embutidos mas depende do contexto.,phase_4_8_agent_meeting,agent_hypothesis,Hipotese provisoria pendente de validacao por comportamento real.
Gaveta Aquecida,Cooktop,contextual,complement,allow,low,true,true,allow_top3_with_context,Pode fazer sentido em projeto de embutidos mas depende do contexto.,phase_4_8_agent_meeting,agent_hypothesis,Hipotese provisoria pendente de validacao por comportamento real.
Dispenser de Agua,Adega,weak,editorial,demote,low,true,true,demote_if_top1,Relacao editorial provisoria pendente de validacao por comportamento real.,phase_4_8_agent_meeting,agent_hypothesis,Risco de falso positivo por ambiente amplo.
Dispenser de Agua,Churrasqueira,weak,editorial,demote,low,true,true,demote_if_top1,Relacao editorial provisoria pendente de validacao por comportamento real.,phase_4_8_agent_meeting,agent_hypothesis,Risco de falso positivo por ambiente amplo.
Cervejeira,Coifa,weak,editorial,demote,low,true,true,demote_if_top1,Relacao editorial provisoria pendente de validacao por comportamento real.,phase_4_8_agent_meeting,agent_hypothesis,Risco de falso positivo por ambiente amplo.
Acessorio de Cozinha,Cuba,weak,unknown,demote,low,false,true,review_only,Relacao provisoria fraca; prioridade reduzida.,phase_4_8_agent_meeting,agent_hypothesis,Tipo amplo pode misturar item decorativo com item tecnico.
Acessorio de Cozinha,Misturador,weak,unknown,demote,low,false,true,review_only,Relacao provisoria fraca; prioridade reduzida.,phase_4_8_agent_meeting,agent_hypothesis,Tipo amplo pode misturar item decorativo com item tecnico.
Acessorio de Cozinha,Lava-loucas,weak,unknown,demote,low,false,true,review_only,Relacao provisoria fraca; prioridade reduzida.,phase_4_8_agent_meeting,agent_hypothesis,Tipo amplo pode misturar item decorativo com item tecnico.
Coifa,Forno,kouzina_specific,same_suite,review,medium,true,true,allow_top3_with_context,Relacao editorial provisoria pendente de validacao por comportamento real.,phase_4_8_agent_meeting,agent_hypothesis,Tratar como curadoria local ate validacao com dados reais.
Refrigerador,Cervejeira,kouzina_specific,editorial,review,low,true,true,allow_top3_with_context,Relacao editorial provisoria pendente de validacao por comportamento real.,phase_4_8_agent_meeting,agent_hypothesis,Tratar como curadoria local ate validacao com dados reais.
Lavadora,Adega,forbidden,unknown,block,strong,false,false,block_if_weak,Relacao bloqueada por politica provisoria de qualidade.,phase_4_8_agent_meeting,agent_hypothesis,Relacao proibida por cruzamento de dominio.
Lavadora,Coifa,forbidden,unknown,block,strong,false,false,block_if_weak,Relacao bloqueada por politica provisoria de qualidade.,phase_4_8_agent_meeting,agent_hypothesis,Relacao proibida por cruzamento de dominio.
Lavadora,Cooktop,forbidden,unknown,block,strong,false,false,block_if_weak,Relacao bloqueada por politica provisoria de qualidade.,phase_4_8_agent_meeting,agent_hypothesis,Relacao proibida por cruzamento de dominio.
Lavadora,Forno,forbidden,unknown,block,strong,false,false,block_if_weak,Relacao bloqueada por politica provisoria de qualidade.,phase_4_8_agent_meeting,agent_hypothesis,Relacao proibida por cruzamento de dominio.
Secadora,Adega,forbidden,unknown,block,strong,false,false,block_if_weak,Relacao bloqueada por politica provisoria de qualidade.,phase_4_8_agent_meeting,agent_hypothesis,Relacao proibida por cruzamento de dominio.
Secadora,Coifa,forbidden,unknown,block,strong,false,false,block_if_weak,Relacao bloqueada por politica provisoria de qualidade.,phase_4_8_agent_meeting,agent_hypothesis,Relacao proibida por cruzamento de dominio.
Secadora,Rangetop,forbidden,unknown,block,strong,false,false,block_if_weak,Relacao bloqueada por politica provisoria de qualidade.,phase_4_8_agent_meeting,agent_hypothesis,Relacao proibida por cruzamento de dominio.
Secadora,Forno,forbidden,unknown,block,strong,false,false,block_if_weak,Relacao bloqueada por politica provisoria de qualidade.,phase_4_8_agent_meeting,agent_hypothesis,Relacao proibida por cruzamento de dominio.
Conjugada,Adega,forbidden,unknown,block,strong,false,false,block_if_weak,Relacao bloqueada por politica provisoria de qualidade.,phase_4_8_agent_meeting,agent_hypothesis,Relacao proibida por cruzamento de dominio.
Conjugada,Coifa,forbidden,unknown,block,strong,false,false,block_if_weak,Relacao bloqueada por politica provisoria de qualidade.,phase_4_8_agent_meeting,agent_hypothesis,Relacao proibida por cruzamento de dominio.
